approximated up-to levels: 
	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
30	56.02721333333278	56.039639999999395	56.02357333333268	56.020079999999496	56.0218133333328	56.03309333333276	56.02606666666614	56.02875999999944	56.03182666666615	56.026279999999446	56.022813333332735	56.0324266666661	56.01250666666614	56.02734666666605	56.039759999999404	56.02199999999942	56.02599999999947	56.02945333333281	56.01167999999953	56.022039999999436	56.01263999999951	56.0323199999994	56.020066666666054	56.0290799999994	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	
29	55.02714666666611	55.03211999999938	55.02070666666609	55.02158666666614	55.03722666666606	55.03279999999941	55.0244399999994	55.02734666666608	55.03283999999941	55.02642666666611	55.01829333333289	55.02541333333282	55.02311999999955	55.038519999999394	55.02783999999943	55.025199999999444	55.02655999999942	55.032586666666106	55.02715999999947	55.02983999999947	55.02741333333276	55.037719999999354	55.03659999999937	55.01693333333276	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	
28	54.0127866666661	54.03014666666613	54.02622666666616	54.020173333332764	54.0237733333328	54.0413066666661	54.029919999999336	54.02697333333282	54.0232933333328	54.02978666666607	54.02595999999954	54.02806666666612	54.02929333333279	54.024839999999415	54.02823999999937	54.018506666666156	54.0292666666661	54.03441333333278	54.033333333332706	54.01795999999939	54.008119999999465	54.03538666666606	54.018546666666154	54.01170666666613	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	
27	53.0327599999994	53.019386666666065	53.025186666666116	53.02510666666612	53.01406666666608	53.02167999999949	53.028466666666105	53.026826666666125	53.027466666666115	53.028253333332714	53.02013333333281	53.03509333333274	53.031053333332764	53.01386666666613	53.02785333333274	53.021199999999425	53.024039999999374	53.025999999999414	53.01833333333283	53.030173333332755	53.0260666666661	53.029146666666094	53.0229599999995	53.02093333333272	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	
26	52.02609333333281	52.02595999999937	52.02302666666614	52.02422666666604	52.02803999999941	52.01633333333275	52.04013333333265	52.032026666666155	52.032733333332715	52.02919999999939	52.0300933333327	52.01817333333277	52.01721333333285	52.02606666666611	52.0338133333328	52.02854666666613	52.03318666666607	52.03322666666607	52.01871999999949	52.018613333332695	52.025719999999396	52.01209333333276	52.016173333332816	52.03249333333278	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	
25	51.020679999999444	51.01043999999945	51.01242666666616	51.02699999999949	51.03450666666603	51.015013333332746	51.02763999999945	51.020466666666124	51.01931999999947	51.02158666666617	51.017559999999435	51.03047999999943	51.02663999999953	51.036906666666056	51.01903999999945	51.0394133333327	51.02955999999938	51.0214533333328	51.02918666666612	51.020133333332836	51.03263999999936	51.02641333333274	51.028186666666144	51.03129333333281	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	
24	50.0433199999994	50.015653333332835	50.01647999999955	50.017546666666064	50.02587999999942	50.02077333333284	50.02194666666617	50.01599999999959	50.015226666666166	50.03099999999935	50.0232666666661	50.02570666666607	50.03889333333274	50.02059999999942	50.011799999999454	50.01237333333282	50.01662666666607	50.036559999999454	50.01874666666612	50.01150666666621	50.03022666666601	50.031679999999426	50.01946666666612	50.025733333332695	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	
23	49.02011999999942	49.02645333333278	49.0229466666661	49.02661333333273	49.02207999999948	49.0349199999994	49.033146666666084	49.023306666666116	49.026639999999446	49.029373333332785	49.01551999999947	49.01217333333268	49.0181333333328	49.03103999999942	49.02818666666609	49.01963999999943	49.03486666666609	49.020119999999494	49.02917333333281	49.029093333332796	49.03255999999935	49.02742666666606	49.026386666666085	49.03630666666609	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	
22	48.03830666666609	48.029186666666135	48.02454666666608	48.020933333332806	48.030519999999385	48.02985333333268	48.02359999999943	48.042119999999386	48.02013333333278	48.02113333333277	48.01575999999946	48.011653333332774	48.0024133333328	48.024093333332814	48.029253333332775	48.01955999999947	48.02323999999943	48.013866666666075	48.00689333333287	48.01919999999957	48.044386666666014	48.02195999999941	48.015079999999486	48.027933333332754	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	
21	47.033199999999354	47.02897333333274	47.02823999999947	47.01357333333276	47.02558666666616	47.02833333333277	47.041226666666006	47.01485333333275	47.03381333333277	47.02639999999934	47.026199999999506	47.03433333333271	47.03130666666607	47.0215066666661	47.015679999999506	47.02009333333285	47.014506666666136	47.0244666666661	47.03733333333278	47.01310666666612	47.03349333333274	47.01218666666608	47.02087999999944	47.01798666666613	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	
