	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
30	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|22	5|0|21	4|0|20	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
29	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|22	0|0|21	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
28	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|22	0|0|21	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
27	0|0|45	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|22	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
26	0|0|45	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|22	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
25	0|0|45	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|22	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
24	0|0|46	0|0|45	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
23	0|0|46	0|0|45	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|23	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
22	0|0|47	0|0|46	0|0|45	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
21	0|0|47	0|0|46	0|0|45	0|0|44	0|0|43	0|0|42	0|0|41	0|0|40	0|0|39	0|0|38	0|0|37	0|0|36	0|0|35	0|0|34	0|0|33	0|0|32	0|0|31	0|0|30	0|0|29	0|0|28	0|0|27	0|0|26	0|0|25	0|0|24	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	
