4	[-23, -21]	[39, 40]	[40, 39]	
4	[-23, -20]	[39, 39]	[40, 38]	
4	[-23, -19]	[39, 38]	[40, 37]	
4	[-23, -18]	[39, 37]	[40, 36]	
4	[-23, -17]	[39, 36]	[40, 35]	
4	[-23, -16]	[39, 35]	[40, 34]	
4	[-23, -15]	[39, 34]	[40, 33]	
4	[-23, -14]	[39, 33]	[40, 32]	
4	[-23, -13]	[39, 32]	[40, 31]	
4	[-23, -12]	[39, 31]	[40, 30]	
4	[-23, -11]	[39, 30]	[40, 29]	
4	[-23, -10]	[39, 29]	[40, 28]	
4	[-23, -9]	[39, 28]	[40, 27]	
4	[-23, -8]	[39, 27]	[40, 26]	
4	[-23, -7]	[39, 26]	[40, 25]	
4	[-23, -6]	[39, 25]	[40, 24]	
4	[-23, -5]	[39, 24]	[40, 23]	
4	[-23, -4]	[39, 23]	[40, 22]	
4	[-23, -3]	[39, 22]	[40, 21]	
4	[-23, -2]	[39, 21]	[40, 20]	
4	[-23, -1]	[39, 20]	[40, 19]	
4	[-23, 0]	[39, 19]	[40, 18]	
4	[-23, 1]	[39, 18]	[40, 17]	
4	[-23, 2]	[39, 17]	[40, 16]	
4	[-22, -22]	[39, 40]	[40, 39]	
4	[-22, -21]	[38, 40]	[39, 39]	[40, 38]	
4	[-22, -20]	[38, 39]	[39, 38]	[40, 37]	
4	[-22, -19]	[38, 38]	[39, 37]	[40, 36]	
4	[-22, -18]	[38, 37]	[39, 36]	[40, 35]	
4	[-22, -17]	[38, 36]	[39, 35]	[40, 34]	
4	[-22, -16]	[38, 35]	[39, 34]	[40, 33]	
4	[-22, -15]	[38, 34]	[39, 33]	[40, 32]	
4	[-22, -14]	[38, 33]	[39, 32]	[40, 31]	
4	[-22, -13]	[38, 32]	[39, 31]	[40, 30]	
4	[-22, -12]	[38, 31]	[39, 30]	[40, 29]	
4	[-22, -11]	[38, 30]	[39, 29]	[40, 28]	
4	[-22, -10]	[38, 29]	[39, 28]	[40, 27]	
4	[-22, -9]	[38, 28]	[39, 27]	[40, 26]	
4	[-22, -8]	[38, 27]	[39, 26]	[40, 25]	
4	[-22, -7]	[38, 26]	[39, 25]	[40, 24]	
4	[-22, -6]	[38, 25]	[39, 24]	[40, 23]	
4	[-22, -5]	[38, 24]	[39, 23]	[40, 22]	
4	[-22, -4]	[38, 23]	[39, 22]	[40, 21]	
4	[-22, -3]	[38, 22]	[39, 21]	[40, 20]	
4	[-22, -2]	[38, 21]	[39, 20]	[40, 19]	
4	[-22, -1]	[38, 20]	[39, 19]	[40, 18]	
4	[-22, 0]	[38, 19]	[39, 18]	[40, 17]	
4	[-22, 1]	[38, 18]	[39, 17]	[40, 16]	
4	[-22, 2]	[38, 17]	[39, 16]	[40, 15]	
4	[-21, -23]	[39, 40]	[40, 39]	
4	[-21, -22]	[38, 40]	[39, 39]	[40, 38]	
4	[-21, -21]	[37, 40]	[38, 39]	[39, 38]	[40, 37]	
4	[-21, -20]	[37, 39]	[38, 38]	[39, 37]	[40, 36]	
4	[-21, -19]	[37, 38]	[38, 37]	[39, 36]	[40, 35]	
4	[-21, -18]	[37, 37]	[38, 36]	[39, 35]	[40, 34]	
4	[-21, -17]	[37, 36]	[38, 35]	[39, 34]	[40, 33]	
4	[-21, -16]	[37, 35]	[38, 34]	[39, 33]	[40, 32]	
4	[-21, -15]	[37, 34]	[38, 33]	[39, 32]	[40, 31]	
4	[-21, -14]	[37, 33]	[38, 32]	[39, 31]	[40, 30]	
4	[-21, -13]	[37, 32]	[38, 31]	[39, 30]	[40, 29]	
4	[-21, -12]	[37, 31]	[38, 30]	[39, 29]	[40, 28]	
4	[-21, -11]	[37, 30]	[38, 29]	[39, 28]	[40, 27]	
4	[-21, -10]	[37, 29]	[38, 28]	[39, 27]	[40, 26]	
4	[-21, -9]	[37, 28]	[38, 27]	[39, 26]	[40, 25]	
4	[-21, -8]	[37, 27]	[38, 26]	[39, 25]	[40, 24]	
4	[-21, -7]	[37, 26]	[38, 25]	[39, 24]	[40, 23]	
4	[-21, -6]	[37, 25]	[38, 24]	[39, 23]	[40, 22]	
4	[-21, -5]	[37, 24]	[38, 23]	[39, 22]	[40, 21]	
4	[-21, -4]	[37, 23]	[38, 22]	[39, 21]	[40, 20]	
4	[-21, -3]	[37, 22]	[38, 21]	[39, 20]	[40, 19]	
4	[-21, -2]	[37, 21]	[38, 20]	[39, 19]	[40, 18]	
4	[-21, -1]	[37, 20]	[38, 19]	[39, 18]	[40, 17]	
4	[-21, 0]	[37, 19]	[38, 18]	[39, 17]	[40, 16]	
4	[-21, 1]	[37, 18]	[38, 17]	[39, 16]	[40, 15]	
4	[-21, 2]	[37, 17]	[38, 16]	[39, 15]	[40, 14]	
4	[-20, -23]	[38, 40]	[39, 39]	
4	[-20, -22]	[37, 40]	[38, 39]	[39, 38]	
4	[-20, -21]	[36, 40]	[37, 39]	[38, 38]	[39, 37]	
4	[-20, -20]	[36, 39]	[37, 38]	[38, 37]	[39, 36]	
4	[-20, -19]	[36, 38]	[37, 37]	[38, 36]	[39, 35]	
4	[-20, -18]	[36, 37]	[37, 36]	[38, 35]	[39, 34]	
4	[-20, -17]	[36, 36]	[37, 35]	[38, 34]	[39, 33]	
4	[-20, -16]	[36, 35]	[37, 34]	[38, 33]	[39, 32]	
4	[-20, -15]	[36, 34]	[37, 33]	[38, 32]	[39, 31]	
4	[-20, -14]	[36, 33]	[37, 32]	[38, 31]	[39, 30]	
4	[-20, -13]	[36, 32]	[37, 31]	[38, 30]	[39, 29]	
4	[-20, -12]	[36, 31]	[37, 30]	[38, 29]	[39, 28]	
4	[-20, -11]	[36, 30]	[37, 29]	[38, 28]	[39, 27]	
